systemNumber,objectType,title,maker,year,place,materials,techniques,styles
O1174420,Stage Cloth,"Stage cloth designed by David Hockney for a double bill of Stravinsky's opera <i>Le Rossignol</i> and Ravel's opera <i>L'Enfant et les Sortilèges</i>, Royal Opera House, Covent Garden, 1983. Painted silk cloth.","Hockney, David",1983.0,London,"['paint', 'cotton (textile)']","['priming', 'painting (image-making)']",[]
O1174417,Frontcloth,"Frontcloth designed by David Hockney for Stravinsky's opera <i>Le Rossignol</i>, Royal Opera House, Covent Garden, 1983, presented in a double bill with <i>L'Enfant et Les Sortilèges</i> by Maurice Ravel. Painted gauze cloth.","Hockney, David",1983.0,London,"['paint', 'cotton (textile)']","['priming', 'painting (image-making)']",[]
O1160747,Set model,"Set model by Tom Piper for William Shakespeare's plays <i>Henry VI</i>, parts I, II and III, Royal Shakespeare Company, Courtyard Theatre, Stratford-upon-Avon, 2006.","Piper, Tom",2006.0,Stratford-upon-Avon,[],[],[]
O1160649,Set model,"Set model designed by Miranda Melville for Bobby Baker's play <i>How to Live</i> by Bobby Baker, Daily Life Theatre at the Barbican, London, 2004.","Melville, Miranda",2004.0,London,[],[],[]
O1115257,Set model,"Set model by Roger Butlin for John Hale's play ""Spithead"", Greenwich Theatre, November 16th 1969.  ",Roger Butlin,1969.0,,"['wood', 'string', 'felt']",[],[]
O1115252,Set model,"Set model by Henry Emden for the 'London Bridge' scene in J. Comyns Carr's stage adaption of Charles Dicken's 'Oliver Twist', His Majesty's Theatre, London, June 10th 1905.  ",Henry Emden,1905.0,Great Britain,"['cardboard', 'watercolour (paint)']",['painting (image-making)'],[]
O1113460,Theatre costume,"Stilts used by the Pender Troupe in 'Jack and the Beanstalk' at Drury Lane Theatre, Christmas 1910/1911.",,1910.0,,['papier mache'],[],[]
O1113105,Book,"Book, to go on shelf of desk. The World of Charles Dickens, ""A Tale of Two Cities"" used by Emlyn Williams for the contents of 'Dickens' Desk'",,,,[],[],[]
O1113104,Book,"Book, to go on shelf of desk. The World of Charles Dickens, ""Great Expectations"" used by Emlyn Williams for the contents of 'Dickens' Desk'",,,,[],[],[]
O1113102,Book,"Book, to go on shelf of desk. 'A Christmas Carol and other stories' used by Emlyn Williams for the contents of 'Dickens' Desk'",,,,[],[],[]
O1432486,Award,"Emmy Award for Best Actor presented to Keith Michell for <i>The Six Wives of Henry VIII</i>, 1971","McManus, Louis",1971.0,United States,"['silver', 'gold', 'copper', 'nickel']","['casting', 'plating']",[]
O1532647,Poster,"Poster advertising <i>Goldilocks and the Three Bears</i>, London Palladium, 2019",,2019.0,Great Britain,"['printing ink', 'paper']",['printing'],[]
O1509765,Costume,"Waiter's costume consisting of a white jacket, black trousers and black bow tie worn by Andrew Sachs as Manuel in Fawlty Towers, 1975 to 1979",,1974.0,,['cotton (textile)'],[],[]
O1479630,Award,"Laurence Olivier Award presented to Sara Kestelman in 1994 by the Society of West End Theatre for Best Performance in a Supporting Role in a Musical. Bronze, cast by the Arch Bronze Foundry from the original sculpted by Harry Franchetti in 1988","Franchetti, Harry",1994.0,London,['bronze'],['casting'],[]
O1476817,Award,"Carl Alan Award for Outstanding Instrumental Record for Dancing, presented to the bandleader, Joe Loss, 1963",,1963.0,Great Britain,"['copper', 'gold', 'nickel', 'silver']",[],[]
O1511668,Bottle,"Ed Sheeran X Heinz Tomato Ketchup, Tattoo Edition, 2019","Paul, Kevin",2019.0,,"['glass', 'metal', 'polyvinyl chloride']",[],[]
O74193,Sound machine,"Wooden and canvas wind machine used as a theatrical sound effect at the Cripplegate Institute  theatre.  Perhaps originally from the Britannia Theatre, Hoxton, which closed as a theatre in 1923.",,1899.0,,"['Wood', 'Iron', 'Canvas', 'Rope']",[],[]
O74169,Sound machine,"Wooden gun rattle used as a theatrical sound effect at the Cripplegate Institute theatre. Perhaps originally from the Britannia Theatre, Hoxton, which closed as a theatre in 1923.",,1899.0,,"['Wood', 'Iron']",[],[]
O96651,Set model,"Set model by Sophie Fedorovitch for the opera ""Orpheus"", Covent Garden, 1953.","Fedorovitch, Sophie",1953.0,London,"['wood', 'paint']",[],[]
O96649,Set model,"Set model by Sophie Fedorovitch for Acts II & III of Puccini's opera ""Madam Butterfly"", Covent Garden, 1950.","Fedorovitch, Sophie",1950.0,London,"['wood', 'paper', 'paint']",[],[]
O96646,Set model,"Set model showing the setting for Sophie Fedorovitch's ballet ""La Fête Étrange"", revived for Sadler's Wells Theatre Ballet, 1947.","Fedorovitch, Sophie",1947.0,London,"['wood', 'cloth', 'paint', 'cloth']",[],[]
O1272485,Design,"Design for stage scenery in the Pierrot Show, used in Fol-de-Rols musical revue, ca. 1950- ca. 1960",Wim Bijmoer,1954.0,London,"['pencil', 'paper', 'watercolour']","['drawing (image-making)', 'painting']",[]
O1273308,Print,"Sheet music for <i>Sound Advice</i> as sung and composed by Harry Lauder, written by J.D Harper. Published in London by Francis Day & Hunter, 1905.",Sidney Kent,1905.0,London,"['printing ink', 'paper']",['chromolithography'],[]
O1294941,Set design,"Set design by Sophie Fedorovitch for the ballet <i>Symphonic Variations</i>, created for the Sadler's Wells Ballet at the Royal Opera House, Covent Garden, 1946","Fedorovitch, Sophie",1946.0,London,"['pencil', 'watercolour', 'card']","['painting (image-making)', 'drawing (image-making)']",[]
O85573,Painting,"Painting by Charles Buchel, ""Sir John Martin-Harvey as Sydney Carton and Nina de Silva as Mimi in <i>The Only Way</i> by Freeman Wills and Frederick Langbridge"", 1939, from Charles Dickens's novel <i>A Tale of Two Cities</i>","Buchel, Charles",1939.0,London,"['oil colour', 'wood']",['oil painting'],[]
O84979,Painting,"Portrait entitled ""Ira Aldridge as Mungo in <i>The Padlock</i> by Isaac Bickerstaffe"". Oil on canvas, attributed to Thomas Charles Wageman, ca. 1833",Thomas Charles Wageman,1832.0,Great Britain,"['oil colour', 'canvas']",['oil painting'],[]
O1135778,Scrap,"Printed paper scrap depicting David Garrick (1717-1779) as King Lear and Miss Younge (Mrs Elizabeth Pope, 1744?-1797) as Cordelia in <i>King Lear</i>, Act IV scene 7. Chromolithograph printed by Siegmund Hildesheimer & Co., ca.1890. One of a series showing scenes from Shakespeare's plays ",,1889.0,Great Britain,"['paper', 'printing ink']","['chromolithography', 'printing']",[]
O1356766,Poster,"Poster for Edinburgh Festival Fringe, 2015","Imray, John",2015.0,Edinburgh,"['ink', 'paper']",['printing'],[]
O1356758,Poster,"Poster for Edinburgh Festival Fringe, 2010","Donald, Morven",2010.0,Edinburgh,"['ink', 'paper']",['printing'],[]
O1356710,Poster,"Poster for Edinburgh Festival Fringe, 1992","Rae, Andy",1992.0,Edinburgh,"['ink', 'paper']",['printed'],[]
O1356706,Poster,"Poster for Edinburgh Festival Fringe, 1981","Hush, Lorna",1981.0,Edinburgh,"['paper', 'ink']",['printing'],[]
O1262184,Print,"Print depicting the singer Jenny Lind (1820-1887), published by J. T. Wood, London, ca. mid 19th century, Harry Beard Collection",Unknown,1849.0,London,"['printing ink', 'paper']",['print-making'],[]
O1262176,Print,"Hand coloured print depicting the singer Jenny Lind (1820-1887), published mid 19th century, Harry Beard Collection",Unknown,1850.0,Great Britain,"['printing ink', 'paper']",['print-making'],[]
O1723261,Frontcloth,"Frontcloth designed and painted by Tommy Steele for <i>An Evening with Tommy Steele</i>, Prince of Wales Theatre, 1979","Steele, Tommy",1979.0,London,"['canvas', 'paint']",['painting (image-making)'],[]
O1625357,Set model,"Set model by Lez Brotherston for Thomas Middleton's play <i>Women Beware Women</i>, National Theatre (Olivier Theatre), 2010","Brotherston, Lez",2010.0,Great Britain,[],['model-making'],[]
O1625356,Set model,"Set model by Lez Brotherston for Alan Bennett's play, <i>Forty Years On</i>, Chichester Festival Theatre, 2017","Brotherston, Lez",2010.0,Great Britain,[],['model-making'],[]
O1309700,Lapel badge,"Lapel badge for Bertram Mills Circus, Great Britain, 20th century",,1949.0,Birmingham,"['enamel', 'metal']","['enamelling', 'striking (metal-working)']",[]
O1222368,Set design,"Set design by Di Seymour, Fanshen, Sheffield Crucible Studio Theatre, March 10th 1975","Seymour, Di",1974.0,,[],[],[]
O1220484,Set design,"Set design by Hedley Briggs probably for a production of <i>Calypso</i> at the Playhouse Theatre, May, 1948","Briggs, Hedley",1947.0,London,"['paint', 'card']",['painting'],[]
O1152790,Token,"White metal circular token for admission to the Pit, Palace Theatre, Derby, ca.1900",unknown,1899.0,London,['white metal'],['striking (metal-working)'],[]
O1247494,Costume design,"Costume design by Wilhelm for a Japanese Gentleman in Gilbert & Sullivan's comic opera <i>The Mikado </i>at the Savoy Theatre, 1885.",William John Charles Pitcher Wilhelm,1885.0,London,"['paper (fiber product)', 'pencil (marking material)', 'paint']","['painting (image-making)', 'drawing']",[]
O1247481,Costume design,"Costume design by Wilhelm for the role of Nanki-Poo in Gilbert & Sullivan's comic opera <i>The Mikado </i>at the Savoy Theatre, 1885.",William John Charles Pitcher Wilhelm,1885.0,London,"['paper (fiber product)', 'pencil (marking material)', 'paint']","['painting (image-making)', 'drawing']",[]
O1247498,Costume design,"Costume design by Wilhelm for a Japanese Gentleman in Gilbert & Sullivan's comic opera <i>The Mikado </i>at the Savoy Theatre, 1885.",William John Charles Pitcher Wilhelm,1885.0,London,"['paper (fiber product)', 'pencil (marking material)', 'paint']","['painting (image-making)', 'drawing']",[]
O1247504,Costume design,"Costume design by Wilhelm for a Japanese Gentleman in Gilbert & Sullivan's comic opera <i>The Mikado </i>at the Savoy Theatre, 1885.",William John Charles Pitcher Wilhelm,1885.0,London,"['paper (fiber product)', 'pencil (marking material)', 'paint']","['painting (image-making)', 'drawing']",[]
O1307425,Print,"Print by Sue Macartney-Snape of picnickers in the grounds at Glyndebourne, ca.1990
","Macartney-Snape, Sue",1989.0,London,"['printing ink', 'card']","['print-making', 'lithography']",[]
O1113869,Token,"Brass token for the Alhambra Palace, Blackburn, ca.1879",unknown,1878.0,Great Britain,['brass (alloy)'],['striking (metal-working)'],[]
O1441121,Glove puppet,"Glove puppet with interchangeable heads of Hitler, Mussolini, Chamberlain and Stalin, German, 1930s",,1934.0,Germany,"['wood', 'fabric', 'papier-mache']",['carving'],[]
O1114858,Theatre costume,Costume worn by Whimsical Walker (Thomas Dawson).,Unknown,1849.0,,"['wool', 'plastic', 'cotton twill', 'braid']","['sewing', 'applique']",[]
O1137639,Print,"Hand coloured caricature print of John Philip Kemble wearing 'The N.P. Spectacles'. Published in London by T. Tegg, 23 November 1809, Harry Beard Collection","Cruikshank, Isaac",1809.0,London,"['paper', 'printing ink', 'wash']","['print-making', 'etching (printing process)', 'hand-colouring']",[]
O1137638,Print,"Hand coloured caricature print of Henry Clifford wearing 'The O.P. Spectacles'. Published in London by T. Tegg, 17 November 1809, Harry Beard Collection","Cruikshank, Isaac",1809.0,London,"['paper', 'printing ink', 'wash']","['print-making', 'etching (printing process)', 'hand-colouring']",[]
O1114064,Stage property,"The Silver Wand. Magician's wand and case, presented to Harold Taylor by the Magic Circle, 1964.",,1964.0,Great Britain,"['plastic', 'nylon']","['enamelling', 'engraving']",[]
O1113771,Mirror,"Silver hand mirror in black leather case, originally owned by Mme. Rejane and given to Ellen Terry",Unknown,,,"['silver', 'leather', 'satin', 'mirror glass']",[],[]
O1140635,Print,"Portrait of Vesta Tilley. Published in The Sketch in 1895, Harry Beard Collection.",,1895.0,London,"['printing ink', 'paper']",['print-making'],[]
O171890,Theatre model,"Model of the auditorium of the Empire Theatre, Leicester Square, London, ca.1915","Shackleton, C.",1914.0,Great Britain,"['wood', 'paint']",['model-making'],[]
O166826,Cut cloth,"Front cloth representing a framed painting of a thatched country cottage and garden with fields beyond. Painted canvas by the Tiller family marionette company, Lincolnshire, c.1900.","Tiller, J.",1899.0,Long Sutton,"['canvas', 'distemper', 'wood']",[],[]
O166762,Backcloth,"Cut cloth representing the interior of a room in a castle with views through an archway to the battlements. Painted canvas by J. Tiller of the Tiller marionette company family, c.1870. Gift of George Speaight.","Tiller, J.",1869.0,Long Sutton,"['canvas', 'distemper', 'wood']",[],[]
O166746,Backcloth,"Cut cloth representing a fairytale-style street scene. Painted canvas, probably c.1870 and originally made for a marionette theatre production by the Tiller family company. Painted by Jim Tiller. Gift of George Speaight.","Tiller, J.",1869.0,Long Sutton,"['canvas', 'distemper', 'wood']",[],[]
O166737,Cut cloth,"Cut cloth representing the exterior of a country cottage with sunflowers and a landscape with fields. Painted canvas, probably c.1870 and originally made for a marionette theatre production by the Tiller family company. Painted by J. Tiller. Gift of George Speaight.","Tiller, J.",1869.0,Long Sutton,"['canvas', 'distemper', 'wood']",[],[]
O166724,Cut cloth,"Cut cloth representing the interior of a grand room with swagged curtains. Painted canvas, probably c.1870 and originally made for a marionette theatre production by the Tiller family company. Gift of George Speaight.",,1869.0,Long Sutton,"['canvas', 'distemper', 'wood']",[],[]
O166718,Backcloth,"Backcloth representing a picture gallery or a drawing room hung with family portraits. Painted canvas, probably c.1870 and originally made for a marionette theatre production by the Tiller family company. Gift of George Speaight.",,1869.0,Long Sutton,"['canvas', 'distemper']",[],[]
O166717,Backcloth,"Backcloth representing a countryside lane with a bridge and village. Painted canvas for a marionette theatre play, probably c.1870 and originally made by the Tiller marionette company family. Gift of George Speaight.",,1869.0,Long Sutton,"['canvas', 'distemper', 'wood']",[],[]
O166662,Backcloth,"Backcloth representing a harbour scene with cliffs behind. The scene on the reverse was used by the Chelsea Puppet Theatre group for their burlesque mediaeval-style melodrama <i>The Secret Well,</i> c.1960.  Painted canvas, probably c.1870 and originally made for a marionette theatre production by the Tiller family company.",,1879.0,Long Sutton,"['canvas', 'distemper']",[],[]
O166631,Backcloth,"Backcloth representing a Bavarian-style castle, used by the Chelsea Puppet Theatre group for their burlesque mediaeval-style melodrama <i>The Secret Well</i>, c.1960.  Painted canvas, probably c.1870 and originally made for a marionette theatre production by the Tiller family company.",,1879.0,Long Sutton,"['canvas', 'distemper']",[],[]
O182990,Tunic,"Wide sleeved, knee length tunic, formed from a variety of fabrics and decorated with appliqué, worn by Jimmy Page of Led Zeppelin","Page, Jimmy",1974.0,Great Britain,"['Velvet', 'lace', 'plastic', 'sequins', 'beads', 'veneer', 'metal', 'wood']","['sewing', 'applied work']",[]
O97486,Set model,"Set model by Yolanda Sonnabend for Act III of the ballet ""Swan Lake"", The Royal Ballet, 1987.","Sonnabend, Yolanda",1987.0,London,"['metal', 'card', 'wood', 'paint', 'cloth', 'plastic', 'glass']",['model-making'],[]
O63098,Set model,"Set model by Sally Jacobs for Peter Brook's production of A Midsummer Night's Dream, Royal Shakespeare Company, 1970-73","Jacobs, Sally",2000.0,Great Britain,"['cardboard', 'Fome-Cor (TM)', 'paper', 'ink', 'paint', 'wire', 'feather']","['painting', 'glueing', 'photocopying']",[]
O1516144,Theatre costume,"Gold showgirl outfit with large feather and bead headdress, top and shorts decorated with feathers, and shoes. Worn by Sarah-Marie Maxwell as young Solange LaFitte in the National Theatre's Follies, 22 August 2017 to 3 January 2018 and 14 February to 11 May 2019.","Mortimer, Vicki",2017.0,London,[],[],[]
O1500959,Poster,"Film poster for <i>Diamonds are Forever</i>, designed by Robert McGinnis, 1971",,1971.0,United States,[],[],[]
O1507284,Poster,"Poster advertising the revue <i>Stars on Strings</i>, 'A Revue Fantasy for Marionettes' produced by Private Frank Mumford for the Central Pool of Artistes. Letterpress, ca.1943",,1942.0,Great Britain,"['paper', 'printing ink']","['letterpress printing', 'printing']",[]
O1723260,Backcloth,"Backcloth designed by Leon Bakst for Act V in <i>The Sleeping Princess</i>, Serge Diaghilev's Ballets Russes, 1921: Border","Bakst, Leon",1921.0,,"['canvas', 'paint']",['painting (image-making)'],[]
O1723259,Backcloth,"Backcloth designed by Leon Bakst for Act V in <i>The Sleeping Princess</i>, Serge Diaghilev's Ballets Russes, 1921: Right leg (narrow drape)","Bakst, Leon",1921.0,,"['canvas', 'paint']",['painting (image-making)'],[]
O1723258,Backcloth,"Backcloth designed by Leon Bakst for Act V in <i>The Sleeping Princess</i>, Serge Diaghilev's Ballets Russes, 1921: Left leg (narrow drape)","Bakst, Leon",1921.0,,"['canvas', 'paint']",['painting (image-making)'],[]
O1723256,Backcloth,"Backcloth designed by Giorgio de Chirio for David Lichine's ballet, <i>Protée</i>, for the Original Ballet Russe, 1938: Border no.2","di Chirico, Giorgio",1938.0,,"['canvas', 'paint']",['painting (image-making)'],[]
O1723255,Backcloth,"Border no.1 for the set designed by Giorgio de Chirio for David Lichine's ballet, <i>Protée</i>, for the Original Ballet Russe, 1938","di Chirico, Giorgio",1938.0,,"['canvas', 'paint']",['painting (image-making)'],[]
O1723231,Backcloth,"Backcloth designed by Giorgio de Chirio for David Lichine's ballet, <i>Protée</i>, for the Original Ballet Russe, 1938","di Chirico, Giorgio",1938.0,,"['canvas', 'paint']",['painting (image-making)'],[]
O1723224,Backcloth,"Backcloth designed by Alexandre Golovine for the Court Scene in <i>Swan Lake</i>, Moscow, 1901, in three sections

","Golovin, Aleksandr Yakovlevich",1900.0,Moscow,"['canvas', 'paint']",['painting (image-making)'],[]
O1723223,Backcloth,"Backcloth designed by Alexandre Golovine for the Court Scene in <i>Swan Lake</i>, Moscow, 1901: Arch 2","Golovin, Aleksandr Yakovlevich",1900.0,Moscow,"['canvas', 'paint']",['painting (image-making)'],[]
