systemNumber,objectType,title,maker,year,place,materials,techniques,styles
O1137132,Print,"Colour satirical scene entitled 'The eruption of the mountain, or the horrors of the ""Bocca de Inferno""', Harry Beard Collection.",,1794.0,London,"['paper', 'printing ink', 'paint']","['print-making', 'aquatint', 'hand-colouring']",[]
O1137100,Print,"Print entitled 'Election-Candidates; - or - the Republican-Goose at the Top of the Pole'. Published in London by Hannah Humphrey on 20th May 1807, Harry Beard Collection.","Gillray, James",1807.0,London,"['paper', 'printing ink', 'wash']","['print-making', 'etching (corroding)', 'painting', 'hand-colouring']",[]
O1137086,Print,"Satirical scene entitled 'Citizen Bardolph refused admittance at prince's hall', Harry Beard Collection.",,1794.0,London,"['paper', 'printing ink']","['print-making', 'etching']",[]
O1137066,Print,"Print entitled 'The Pigs Possessed: - or - the Broad bottom'd Litter running headlong into ye Sea of Perdition'. Published in London by Hannah Humphrey on 18th April 1807, Harry Beard Collection.","Gillray, James",1807.0,London,"['paper', 'printing ink', 'wash']","['print-making', 'etching (corroding)', 'painting', 'hand-colouring']",[]
O1137062,Print,"Print entitled 'Re-taking the Bed of Roses by Storm!!'. Probably published in London by S. W. Fores, ca. 1807, Harry Beard Collection.","Williams, Charles ('Argus')",1806.0,London,"['paper', 'printing ink', 'wash']","['print-making', 'etching (corroding)', 'painting', 'hand-colouring']",[]
O1137061,Print,"Print with image and verse for the song <i>The Yorkshireman in London: or Humphrey Hobnail's return from the Play</i> written by Mr John Major and sung by Mr Emery at the Theatre Royal, Covent Garden. Published in London by Laurie and Whittle on 8th November 1808, Harry Beard Collection.",,1808.0,London,"['paper', 'printing ink', 'wash']","['print-making', 'etching (corroding)', 'painting', 'hand-colouring']",[]
O1137058,Print,"Print with image and verse for the song <i>The Yorkshireman in London: or Humphrey Hobnail's return from the Play</i> written by Mr John Major and sung by Mr Emery at the Theatre Royal, Covent Garden. Published in London by Laurie and Whittle on 8th November 1808, Harry Beard Collection.",,1808.0,London,"['paper', 'printing ink', 'wash']","['print-making', 'etching (corroding)', 'painting', 'hand-colouring']",[]
O1137035,Print,"Print depicting a scene from Act I of <i>Tom Thumb.</i> Published in London by Laurie and Whittle on 28th July 1806, Harry Beard Collection.","Cruikshank, Isaac",1806.0,London,"['paper', 'printing ink', 'wash']","['print-making', 'painting', 'hand-colouring', 'etching (corroding)']",[]
O1137033,Print,"Print depicting a scene from Act I of <i>Tom Thumb</i> accompanied by verse. Published in London by Laurie and Whittle on 28th July 1806, Harry Beard Collection.","Cruikshank, Isaac",1806.0,London,"['paper', 'printing ink', 'wash']","['print-making', 'painting', 'hand-colouring', 'etching (corroding)']",[]
O1137032,Print,"Print entitled 'The Genius of Theatricals bringing John Bull to his Senses!!!'. Published in London by S. W. Fores on 28th January 1806, Harry Beard Collection.","Williams, Charles ('Argus')",1806.0,London,"['paper', 'printing ink', 'wash']","['print-making', 'painting', 'hand-colouring', 'etching (corroding)']",[]
O1137026,Print,"Portrait of Madame Catalani in <i>Semiramide.</i> Published in London by Dighton in December 1806, Harry Beard Collection.","Dighton, Robert",1806.0,London,"['paper', 'printing ink', 'wash']","['print-making', 'painting', 'hand-colouring', 'etching (corroding)']",[]
O1137025,Print,"Portrait of Madame Catalani in <i>Semiramide.</i> Published in London by Dighton in December 1806, Harry Beard Collection.","Dighton, Robert",1806.0,London,"['paper', 'printing ink', 'wash']","['print-making', 'painting', 'hand-colouring', 'etching (corroding)']",[]
O1137011,Print,"Print entitled 'A Butt for the Brewers or the Bench Candidate giving instructions to his Bill Sticker'. Published in London by T. Palser, 19th c. Harry Beard Collection.","Palser, T.",1850.0,London,"['paper', 'printing ink', 'wash']","['print-making', 'painting', 'hand-colouring', 'etching (corroding)']",[]
O1137009,Print,"Print entitled 'The School for Scandal'. Published in London by S. W. Fores November 1806, Harry Beard Collection.","Williams, Charles ('Argus')",1806.0,London,"['paper', 'printing ink', 'wash']","['print-making', 'painting', 'hand-colouring', 'etching (corroding)']",[]
O1137006,Print,"Print entitled 'The School for Scandal'. Published in London by S. W. Fores November 1806, Harry Beard Collection.","Williams, Charles ('Argus')",1806.0,London,"['paper', 'printing ink', 'wash']","['print-making', 'painting', 'hand-colouring', 'etching (corroding)']",[]
O1137001,Print,"Print entitled 'Modern Atlas's Tottering under a Globe of their own Formation!!'. Published in London by S. W. Fores on 30th July 1806, Harry Beard Collection.","Williams, Charles ('Argus')",1806.0,London,"['paper', 'printing ink', 'wash']","['print-making', 'painting', 'hand-colouring', 'etching (corroding)']",[]
O1136970,Print,"Print entitled 'The Acquittal! or the Managers Poisened with a Beer of their own Brewing'. Published in London by S. W. Fores on 24th June 1806, Harry Beard Collection.","Williams, Charles ('Argus')",1806.0,London,"['paper', 'printing ink', 'wash']","['print-making', 'painting', 'hand-colouring', 'etching (corroding)']",[]
O1139239,Print,"Portrait of Mr. Frederick Yates. Published in an illustrated review on 31st March 1838, Harry Beard Collection.",,1838.0,london,"['printing ink', 'paper', 'glue or paste']",['print-making'],[]
O1139238,Print,"Portrait of Miss Walstein. Published in 1833, Harry Beard Collection.","Gainsford, F. G. (Mr)",1833.0,Great Britain,"['paper', 'printing ink', 'glue or paste']","['print-making', 'stipple engraving']",[]
O1139231,Print,"Print depicting a scene from ancient Greek theatre, Harry Beard Collection.","Paderni, Camillo",1749.0,Europe,"['paper', 'ink']","['etching (printing process)', 'print-making']",[]
O1139228,Print,"Print depicting Margaret Sheridan in <i>Iris</i> at Covent Garden, article underneath, unrelated article on reverse, taken from The Illustrated London News, 1919, Harry Beard Collection.","Spurrier, Stephen",1919.0,London,"['paper', 'ink']",['print-making'],[]
O1139226,Print,"Print depicting Marylebone Theatre Royal, underneath is a hand written invitation for Miss Anthony to attend the theatre on 28th September 1848, Harry Beard Collection",Fenouthet,1847.0,London,"['paper', 'ink']","['etching (printing process)', 'print-making']",[]
O1139223,Print,"Page of text describing an image of Mary I and King Philip, Harry Beard Collection.","Vertue, George",1674.0,London,"['paper', 'ink']",['printing'],[]
O1139218,Print,"Print depicting Queen Mary I, published as part of Mitchell's Edition of Rapin's History of England, Harry Beard Collection.","Luttrell, Edward",1749.0,London,"['paper', 'ink']","['engraving (printing process)', 'print-making']",[]
O1139206,Print,"Page of biographical information about Padre Giovanni Battista Martini, Harry Beard Collection.",Unknown,1824.0,Italy,"['paper', 'ink']",['printing'],[]
O1139205,Oil painting,"Oil painting on canvas depicting Sarah Siddons, late 18th century",Unknown,1787.0,,"['oil colour', 'canvas']",['painting'],[]
O1139203,Oil painting,"Oil painting on panel depicting David Garrick in costume, framed, no date",Unknown,,,"['oil colour', 'panel']",['painting (image-making)'],[]
O1139202,Oil painting,"Oil painting depicting full-length images of John Edwin and Mrs. Wells, framed, no date",Unknown,,,"['oil colour', 'wood', 'fabric']",['painting'],[]
O1139201,Oil painting,"Oil painting depicting St. George's Fields, Royal Circus view, London, 1795",Unknown,1795.0,,"['oil colour', 'cloth']",['painting (image-making)'],[]
O1139200,Oil painting,"Oil painting depicting Edmund Kean in the character of Richard III, no date",Unknown,,,"['oil colour', 'wood']",['painting'],[]
O1139195,Oil painting,"Oil painting, depicting Sarah Siddons, no date",Unknown,,,['oil colour'],['painting'],[]
O1139178,Oil painting,"Oil painting on glass depicting a rural scene, second half 18th century, framed",Unknown,1774.0,,"['oil colour', 'glass']",['painting'],[]
O1139160,Playbill,"Playbill advertising <i>The Way to Keep Him</i> and <i>The Double Disappointment</i>, Theatre Royal, Drury Lane, London, 1761",Unknown,1761.0,,['printing ink'],['letterpress'],[]
O1139158,Playbill,"Playbill advertising <i>The Suspicious Husband</i> and <i>The Deserter</i>, Theatre Royal, Drury Lane, London, 1776",Unknown,1776.0,,['printing ink'],['letterpress'],[]
O1139157,Playbill,"Playbill advertising <i>The Beaux' Stratagem</i> and <i>Flora; or, Hob in the Well</i>, Theatre Royal, Drury Lane, London, 1767",Unknown,1767.0,,['printing ink'],['letterpress'],[]
O1139156,Playbill,"Playbill advertising <i>The Beaux' Stratagem</i> and <i>The Devil to Pay</i>, Theatre Royal, Drury Lane, London, 1767",Unknown,1767.0,,['printing ink'],['letterpress'],[]
O1139152,Playbill,"Playbill advertising <i>Ulysses</i> and <i>The Frenchified Lady Never in Paris</i>, Theatre Royal, Covent Garden, London, 1756",Unknown,1756.0,,['printing ink'],['letterpress'],[]
O1139150,Playbill,"Playbill advertising <i>The Beggar's Opera</i> and <i>The Genii</i>, Theatre Royal, Drury Lane, London, 1762",Unknown,1762.0,,['printing ink'],['letterpress'],[]
O1139148,Playbill,"Playbill advertising <i>Douglas</i> and <i>The Chaplet</i>, Theatre Royal, Drury Lane, London, 1761",Unknown,1761.0,,['printing ink'],['letterpress'],[]
O1139143,Print,"Coloured lithograph depicting John Philip Kemble in the character of Hamlet, no date","Lawrence, Thomas PRA (Sir)",,,[],['lithography'],[]
O1139139,Print,"Portrait of Frances Kemble, known as Fanny (1759-1812). Hand-coloured engraving by John Jones after John Downman, published by John Jones, 23rd October 1784","Jones, John",1784.0,London,"['paper', 'watercolour']",['engraving'],[]
O1139119,Oil painting,"Oil painting, unfinished, depicting Robert Eddison, no date",Unknown,,,"['oil colour', 'fabric']",['painting'],[]
O1139115,Tile,"Encaustic ceramic tile with coloured image depicting Mr. Claire in the character of Macbeth, no date",Unknown,,,['ceramic'],[],[]
O1139108,Print,"Mezzotint depicting Martha Ray, c.1779","Green, Valentine",1779.0,London,"['paper', 'printing ink']",['mezzotint'],[]
O1139106,Playbill,"Playbill, framed and glazed, advertising <i>Othello</i> and <i>The Prisoner at Large</i>, Theatre Royal, Drury Lane, London, 1820",Unknown,1820.0,,['printing ink'],['letterpress'],[]
O1139092,Tile,"Tin-glazed earthenware tile with dark red transfer print depicting Charles Lee Lewes (1740-1803) as Harlequin. Produced by Guy Green of Sadler and Green, Liverpool, ca.1770","Green, Guy",1769.0,Liverpool,['earthenware'],['transfer printing'],[]
O1139076,Box and lid,"Painted patchbox and lid, decorated with a head and shoulders image of Eliza O'Neill, 19th century",Unknown,1849.0,,"['wood', 'oil colour', 'lacquer']",['painting'],[]
O1139072,Painting,"Painting, watercolour?, on ivory depicting Robert Eddison in the character of Julius Caesar, no date",Unknown,,,"['paint', 'ivory']",['painting'],[]
O1139055,Token,"Token commemorating David Garrick, portrait bust on obverse, masks of tragedy and comedy and the inscription, 'SIMS RUSSELL COURT', on reverse, designed by C. James, after 1779","James, C.",,,['copper'],[],[]
O1138991,Manuscript,"Manuscript, detailing the costs of the building of Drury Lane Theatre, London, 1812",Unknown,1812.0,,"['ink', 'paper']",['handwriting'],[]
O1138951,Print,"Lithograph depicting the front view of the Covent Garden Theatre, no date",Unknown,,,['printing ink'],['lithography'],[]
O1138880,Print,"Lithograph drawing depicting Mrs. Mountain, 1797","Bellamy, T.",1797.0,London,"['ink', 'paper']",['printing'],[]
O1138879,Print,"Lithograph drawing depicting Lolla Montes, by L. Lanta, published by Decan et Lebref, no date","Lanta, L.",,,['printing ink'],['lithography'],[]
O1138878,Print,"Lithograph drawing depicting Jane Pope, 1798","Bellamy, T.",1798.0,London,"['ink', 'paper']",['printing'],[]
O1138874,Print,"Lithograph drawing depicting Mary Robinson as Perdita in <i>The Winter's Tale</i>, 1799","Ridley, William",1799.0,London,"['ink', 'paper']",['printing'],[]
O1138873,Print,"Lithograph depicting Miss Paton in the character of Floretta in the production of the Cabinet, by Kennerly, London, no date","Duncombe, Edward",,London,['printing ink'],['lithography'],[]
O1138870,Print,"Mezzotint depicting Francois Joseph Talma, by Deveria, engraved by Bellay, no date","Devéria, Achille Jacques Jean Marie",,,['printing ink'],['steel engraving'],[]
O1138857,Print,"Lithograph drawing depicting Dorothy Jordan, no date",Unknown,,,['printing ink'],['lithography'],[]
O1138837,Print,"Lithograph depicting John Philip Kemble in the character of Hamlet, no date",Unknown,,,[],['lithography'],[]
O1138755,Programme cover,"Programme cover for A Ridotto al' Fresco, Vauxhall Gardens, London, 1788",Unknown,1788.0,,['printing ink'],['engraving'],[]
O1138750,Programme cover,"Programme cover for the Vauxhall Jubilee, with seal, London, 1786",Unknown,1786.0,,['printing ink'],['engraving'],[]
O1138721,Playbill,"Playbill advertising<i> La Gazza Ladra!</i>, or, <i>the Thievish Magpie</i> [and] <i>Divertissement</i>at the Grecian Saloon, London, 1842",,1842.0,London,"['paper', 'printing ink']",['printing'],[]
O1138720,Playbill,"Playbill advertising<i> La Gazza Ladra!</i>, or, <i>the Thievish Magpie</i> [and] <i>Divertissement</i>at the Grecian Saloon, London, 1842",unknown,1842.0,London,"['paper', 'printing ink']",['printing'],[]
O1138686,Print,"Coloured lithograph depicting John Liston in the character of Van Dunder in the production Twould Puzzle a Conjuror, no date",Unknown,,,[],['lithography'],[]
O1138675,Print,"Mezzotint depicting Moses Kean imitating John Henderson's Hamlet, ca. 1790",,1789.0,London,[],['printing'],[]
O1138673,Print,"Chromolithograph depicting Charles Kean in the character of Richard III, 1838","Jobbins, J. R.",1838.0,London,"['paper', 'printing ink']",['printing'],[]
O1138671,Print,"Coloured lithograph depicting Eliza O'Neill as Juliet, 1814","Turner, C. (Mr.)",1814.0,London,"['paper', 'printing ink']",['lithography'],[]
O1138670,Print,"Mezzotint depicting Hans Buling, 1750","Cruikshank, Isaac Robert",1750.0,,['printing ink'],['mezzotint'],[]
O1138668,Print,"Mezzotint depicting Thomas Dibdin, 1807",,1807.0,London,"['paper', 'printing ink']",['printing'],[]
O1138667,Print,"Mezzotint depicting Charles Mayne Young as Hamlet, no date","Collen, Henry",,,['printing ink'],['mezzotint'],[]
O1138666,Print,"Lithograph depicting William Becher, husband of Eliza O'Neill, no date",Unknown,,,['printing ink'],['lithography'],[]
O1138665,Print,"Mezzotint depicting John Philip Kemble as Richard III, 1788","Keating, G.",1788.0,London,"['paper', 'printing ink']",['printing'],[]
O1138664,Print,"Mezzotint depicting John Philip Kemble as Rolla, 1832","McCormick, J.",1832.0,London,"['paper', 'printing ink']",['printing'],[]
O1138662,Silk programme,"Silk programme advertising a gala performance of Rigoletto [and] Carmen [and] Romeo et Juliette at Covent Garden Theatre, London, 1903","Downey, D.",1903.0,London,"['silk (textile)', 'printing ink']",['printing'],[]
O1138660,Print,"Mezzotint depicting Henry Erskine Johnstone as Sir Callaghan in the production <i>Love A la Mode</i>, 1803","Ward, William",1803.0,London,"['paper', 'printing ink']",['printing'],[]
O1138659,Print,"Mezzotint depicting Clara Fisher Maeder at 81 years of age, 1892",Unknown,1892.0,,['printing ink'],['mezzotint'],[]
O1138656,Print,"Mezzotint depicting David Garrick in the character of an auctioneer in the production Taste, 1769","Sayer, Robert",1769.0,London,"['paper', 'printing ink']",['printing'],[]
O1138652,Print,"Mezzotint depicting David Garrick in the character of Kitely, 1769","Finlayson, J.",1769.0,London,"['paper', 'printing ink']",['printing'],[]
O1138651,Print,"Mezzotint depicting Mr. Edwin in the character of Lingo, by Alefounder, engraved by C. H. Hodges, no date","Hodges, C. H.",,,['printing ink'],['mezzotint'],[]
O1138650,Print,"Mezzotint depicting a portrait of David Garrick, by Thomas Hudson, engraved by James Watson, printed by John Bowles, no date","Bowles, John",,London,['printing ink'],['mezzotint'],[]
O1138649,Print,"Mezzotint depicting Blanchard, Liston and Mathews in Love, Law and Physic, 1831","Ackermann, Rudolph",1831.0,London,"['paper', 'printing ink']",['printing'],[]
O1138648,Print,"Mezzotint depicting John Sturges as Othello, 1733","Kyle, F.",1733.0,,['printing ink'],['mezzotint'],[]
O1138647,Print,"Full-length portrait of Miss Rose in the title role of <i>Tom Thumb</i>by Henry Fielding (1707-1754), Haymarket Theatre, 1769 or 1770. Mezzotint by Edward Fisher (ca.1722-ca.1785), published 30th August 1770 after the original by John Berridge (1740-ca.1812)","Fisher, Edward",1770.0,,['printing ink'],['mezzotint'],[]
O1138543,Print,"Print depicting Ippolita Mars with a page of biographical information, Harry Beard Collection.",Demarchi,1749.0,Italy,"['paper', 'ink']","['stipple engraving', 'print-making']",[]
O1138632,Print,"Mezzotint depicting David Garrick, 1779","Stevens, J.",1779.0,,['printing ink'],['mezzotint'],[]
O1138631,Print,"Lithograph depicting David Garrick, printed by Dickinson Lowes, no date","Dickinson, Lowes Cato",,,['printing ink'],['lithography'],[]
O1138625,Print,"Lithograph depicting William Charles Macready as Romeo in a production of <i>Romeo and Juliet</i>, no date",Woodman,,,[],['lithography'],[]
O1138605,Drawing,"Charles Mathews (1776-1835). Sepia pen drawing by R.R. Scanlan, 1834","Scanlan, R",1834.0,Great Britain,"['pen and ink', 'paper', 'mounting board', 'glue or paste']","['drawing', 'sketching', 'glueing']",[]
O1138602,Print,"Hand-coloured lithograph depicting John Liston (c.1776-1746) in his most famous roles, drawn and published  by A. Parsey","Parsey, A.",,London,[],"['lithography', 'hand-colouring']",[]
O1138596,Print,"Mezzotint of Sarah Siddons as Zara in At II of <i>The Mourning Bride </i>by William Congreve. Engraving by John Raphael Smith after Thomas Lawrence. published by Thomas Lawrence, 18th June 1783","Lawrence, Thomas PRA (Sir)",1783.0,Bath,"['printing ink', 'paper']",['printing'],[]
O1138593,Print,"Mezzotint of David Garrick as Abel Drugger in <i>The Alchemist</i>, 1776","Zoffany, Johan Joseph",1776.0,,['printing ink'],['mezzotint'],[]
O1138554,Print,"Lithograph drawing depicting the ruins of Covent Garden Theatre after the fire, London, 1856",Unknown,1856.0,,[],['lithography'],[]
O1138531,Print,"Lithograph with sepia tint depicting Covent Garden Theatre, London, after the fire, 1856",,1856.0,London,"['printing ink', 'paper']",['lithography'],[]
O1138527,Print,"Chromolithograph depicting the destruction of the Covent Garden Theatre, London, 1856",Unknown,1856.0,,['printing ink'],['lithography'],[]
O1138509,Print,"Photogravure print depicting Miss Granville as Mrs. Gordon in <i>An Interrupted Honeymoon</i>, and an accompanying leaflet detailing Miss Granville's career, ca.1899",,1898.0,,[],['photogravure'],[]
O1138503,Print,"Lithograph depicting several scenes of Fanny Kemble as Juliet, no date",Unknown,,,[],['lithography'],[]
O1138499,Playbill,"Playbill advertising <i>The Beaux Stratagem</i>, <i>Barataria, or, Sancho turn'd Governor</i> and <i>Love, Law, and Physick</i> at the Haymarket Theatre, London, 1818",Unknown,1818.0,,['printing ink'],['letterpress'],[]
O1138496,Playbill,"Playbill advertising <i>Virginius</i> and <i>The Poor Soldier</i> at the Theatre Royal, Newcastle, 1826",Unknown,1826.0,,['printing ink'],['letterpress'],[]
O1138495,Playbill,"Playbill advertising The Dream at Sea, or, Penden Vau, the Haunted Cavern [and] The Emigrant's Daughter, or, the Neutral Ground [and] Robert Macaire, or, the Two Murderers [and] Grudge, Fudge, Dudge, and Trudge!, or, the Three Clerks at Waterloo Vale, South Shields, 1842",,1842.0,,['printing ink'],['letterpress'],[]
O1138451,Watercolour drawing,"Watercolour drawing depicting a design for a proscenium arch. Frontispiece designed by Giovanni Battista Cipriani, 1777.","Cipriani, Giovanni Battista",1777.0,England,"['watercolour', 'paper']",['painting'],[]
O1138390,Bust,"Plaster portrait bust by Albert Toft (1862-1949), 1925","Toft, Albert",1925.0,,"['plaster', 'paint']",['painting (coating)'],[]
O1138311,Figure,"Bloor Derby porcelain ceramic figure of Madame Vestris (1797-1856) as Don Giovanni in Moncrieff's<i> Giovanni in London</i>, Olympic Theatre, 26 December 1817.",,1830.0,Derby (city),"['porcelain', 'Glaze', 'ceramic']","['glazing', '']",[]
O1138256,Print,"Print depicting Giacinto Marras, Harry Beard Collection.",Unknown,1843.0,Europe,"['paper', 'ink']","['lithography', 'print-making']",[]
O1138254,Print,"Portrait of Miss Walpole (Mrs Atkins) as Nancy Whipple. Published in London by Watson & Dickinson on 22nd January 1780, Harry Beard Collection.","Bunbury, Henry William",1780.0,London,"['paper', 'printing ink']","['print-making', 'stipple engraving']",[]
O1138253,Print,"Portrait of Miss Walpole (Mrs Atkins) as Nancy Whipple. Published in London by Watson & Dickinson on 22nd January 1780, Harry Beard Collection.","Bunbury, Henry William",1780.0,London,"['paper', 'printing ink']","['print-making', 'stipple engraving']",[]
O1138250,Poster,"Poster advertising a variety programme at the New South London Palace for the week beginning 25 July 1927 starring Jack Hylton and his band, and also featuring Eddie Gray and Kirkby & Harrington. Printed by Wilkes & Co. Letterpress on paper.",,1927.0,Southwark,['printed paper'],['letterpress'],[]
O1138249,Print,"Print depicting Signor Mario (Giovanni Matteo Mario), taken from The Illustrated London News, 1871, Harry Beard Collection.",,1871.0,London,"['paper', 'ink']","['lithography', 'print-making']",[]
O1138247,Print,"Print entitled 'Don Quichotte prenant des Marionnettes pour des Maures' depicting Don Quixote attacking a puppet show, Harry Beard Collection.","Coypel, Charles-Antoine",1876.0,Paris,"['paper', 'ink']","['engraving (printing process)', 'print-making']",[]
O1138243,Print,"Print depicting Charlotte Mardyn, published 1836, Harry Beard Collection.","Meyer, Henry",1836.0,Great Britain,"['paper', 'ink']","['etching (printing process)', 'crayon manner', 'print-making']",[]
O1138240,Print,"Print depicting Luigi Marchesi, Harry Beard Collection.",Fiorentini,1749.0,Italy,"['paper', 'ink']","['lithography', 'print-making']",[]
O1138236,Print,"Print entitled 'The Charmers of the Age' depicting Gertrude Elisabeth Mara and Giovanni Rubinelli, published by Bretherton, 1786, Harry Beard Collection.","Sayers, James",1786.0,London,"['paper', 'ink']","['etching (printing process)', 'print-making']",[]
O1138230,Print,"Portrait of Mr William Wallett (1806-1892) 'the Queen's Jester' as Clown at the Alhambra Palace in Leicester Square, ca.1858, Harry Beard Collection.",,1857.0,,"['paper', 'printing ink']",['print-making'],[]
O1138229,Print,"Portrait of Mr Lewis Waller as Buckingham in <i>The Three Musketeers</i> at His Majesty's Theatre, 1895, Harry Beard Collection..",,,Great Britain,"['paper', 'printing ink']","['print-making', 'photography']",[]
O1138197,Magazine page,"Illustrated article commenting on the performance and set treatments of Wagner's opera <i>Parsifal</i> at Covent Garden in 1919. Published in The Sphere dated 22nd November 1919, Harry Beard Collection.","Buchel, Charles",1919.0,London,"['paper', 'printing ink']","['print-making', 'painting', 'drawing', 'photography']",[]
O1138198,Print,"Print depicting the 'Great National Anti-Corn-Law Bazaar' held at the Manchester Theatre Royal in 1842, Harry Beard Collection.","Chester, F.",1841.0,Manchester,"['paper', 'ink']","['lithography', 'hand-colouring', 'print-making']",[]
O1138195,Print,Illustration depicting Act I of the opera <i>Parsifal</i> as performed for the first time in England at Covent Garden on Monday 2nd February 1914. Printed over two pages and accompanied by an illustrated article and portraits of the musicians. Published in an illustrated review in February 1914. Harry Beard Collection.,"Buchel, Charles",1914.0,London,"['paper', 'printing ink']","['print-making', 'painting', 'drawing', 'photography']",[]
O1138196,Print,"Print depicting Concert Hall Manchester, published by Thomas Sowler, Harry Beard Collection.","Fothergill, J.",1824.0,Great Britain,"['paper', 'ink']","['etching (printing process)', 'print-making']",[]
O1138193,Print,"Illustration of a scene from the opera <i>Parsifal</i> as performed at Covent Garden. Printed over two pages in an illustrated review, early 20th c. Harry Beard Collection.","Cuneo, Cyrus",1925.0,London,"['paper', 'printing ink']","['print-making', 'painting', 'drawing']",[]
O1138192,Print,"Illustration for the 'Great Scene in the Sanctuary' in a production of <i>Parsifal</i> performed at Covent Garden. Printed over two pages in an illustrated review, early 20th c. Harry Beard Collection.","Scott, Septimus E.",1925.0,London,"['paper', 'printing ink']","['print-making', 'painting', 'drawing']",[]
O1138190,Print,"Print depicting Maria Malibran in <i>Norma</i>, Harry Beard Collection.",De Marchi,1849.0,Italy,"['paper', 'ink']","['lithography', 'print-making']",[]
O1138189,Print,"Print depicting Maria Malibran in <i>Fidelio</i>, printed by W. Sharpe, Harry Beard Collection.","Wontner, W.H.",1849.0,London,"['paper', 'ink']","['lithography', 'print-making']",[]
O1138188,Print,"Page from an illustrated review. On one side is an illustration of Mr Joseph Harker painting the scenery for Wagner's opera 'Parsifal' perfomed at Covent Garden in February 1914. On the other side is an illustrated article on 'The Season of German Opera at Covent Garden' accompanied by portraits of some of the singers. Published in The Illustrated London News dated 31st January 1914, Harry Beard Collection.","de Haenen, Frédéric",1914.0,London,"['paper', 'printing ink']","['print-making', 'photography', 'painting', 'drawing']",[]
O1138187,Print,"Print depicting Maria Malibran in the prison scene of <i>Fidelio</i>, published by Hodgson & Graves, 1836, Harry Beard Collection.",,1836.0,London,"['paper', 'ink']","['lithography', 'hand-colouring', 'print-making']",[]
O1138186,Print,"Print depicting Maria Malibran as Desdemona in <i>Othello</i>, published by McCormick, Harry Beard Collection.","Decaisne, Henri",1849.0,London,"['paper', 'ink']","['mezzotint', 'print-making']",[]
O1138183,Print,"Print depicting Maria Malibran, published by B. Williams, Harry Beard Collection.","Williams, B.",1836.0,London,"['paper', 'ink']","['lithography', 'print-making']",[]
O1138226,Print,"Print depicting Almerinda Manzocchi as Anna Bolena, 1834, Harry Beard Collection.",Gaddi,1833.0,Italy,"['paper', 'ink']","['lithography', 'print-making']",[]
O1138180,Print,"Print depicting Maria Malibran, Harry Beard Collection.","Grevedon, Pierre-Louis",1828.0,France,"['paper', 'ink']","['lithography', 'print-making']",[]
O1138179,Print,"Print depicting Maria Malibran, published by Mori & Lavenu, 1829, Harry Beard Collection.","Grevedon, Pierre-Louis",1829.0,London,"['paper', 'ink']","['lithography', 'print-making']",[]
O1138178,Print,"Print depicting Maria Malibran, published by John Spratt, Harry Beard Collection.","Grevedon, Pierre-Louis",1824.0,London,"['paper', 'ink']","['lithography', 'print-making']",[]
O1138123,Print,"Illustration for the final scene in part IV of Wagner's <i>The Nibelungen Ring,</i> <i>Götterdämmerung.</i> Published in The Sphere dated 31st May 1913, Harry Beard Collection.","Matania, Fortunino",1913.0,London,"['paper', 'printing ink']","['print-making', 'painting']",[]
O1138122,Print,"Set design for the 'Hall of the Gibichungs' in Wagner's opera <i>Götterdämmerung.</i> Published in The Illustrated London News dated 16th May 1903, Harry Beard Collection.","Begg, S.",1903.0,London,"['paper', 'printing ink']","['print-making', 'painting']",[]
O1138119,Photograph,"Portrait of Heinrich Knote (1870-1953) in the title role in <i>Siegfried</i> by Richard Wagner (1813-1883) performed at Covent Garden Theatre, ca.1901. Harry Beard Collection.",Unknown,1900.0,Great Britain,"['paper', 'printing ink']","['print-making', 'photography']",[]
O1141749,Print,"Song sheet cover for <i>Giralda</i> by Adolphe Adam, published by J.E. Libau, Harry Beard Collection.",Verbeyst,,Belgium,"['paper', 'ink']","['lithography', 'print-making']",[]
O1141742,Print,"Playbill advertising the acrobatic troupe, Aglinska, text in centre is in Russian and German, with colour images surrounding it, Harry Beard Collection.",Unknown,1824.0,Europe,"['paper', 'ink']","['wood-cutting', 'hand-colouring', 'print-making']",[]
O1141741,Print,"Print of Rex Whistler's set design for the Forecourt of the Prison in Act II, Scene 2 of <i>Fidelio.</i> Published in The Mask by Curtain Press, London, after 1900, Harry Beard Collection.","Whistler, Rex",,London,"['printing ink', 'paper']",['print-making'],[]
O1141740,Print,"Print of Rex Whistler's set design for the Prison Yard in Act I, Scene II of <i>Fidelio.</i> Published in The Mask by Curtain Press, London, after 1900, Harry Beard Collection.","Whistler, Rex",,London,"['printing ink', 'paper']",['print-making'],[]
O1141739,Print,"Print of Rex Whistler's set design for The Jailer's House in Act I, Scene 1 of <i>Fidelio.</i> Published in The Mask by Curtain Press, London, after 1900, Harry Beard Collection.","Whistler, Rex",,London,"['printing ink', 'paper']",['print-making'],[]
O1141733,Print,"Print depicting the writers and humourists Thomas Bridges (ca.1710-1775) and Laurence Sterne (1713-1768) as Mountebanks, 1838. Harry Beard Collection","Smith, Charles John",1838.0,Great Britain,"['printing ink', 'paper']","['print-making', 'etching (corroding)']",[]
O1141730,Print,Caricature of the pianist Sigismund Thalberg. Harry Beard Collection.,,,,"['paper', 'ink']",['printing'],[]
